Positive,,Negative,
term,count,term,count
heal,4,conservative,3
hottest,4,conspiracy,3
ideal,4,cracked,3
immense,4,crushed,3
impressed,4,cry,3
improved,4,delays,3
integrated,4,deny,3
leads,4,desperately,3
luck,4,disadvantaged,3
magic,4,disappointing,3
masterpiece,4,disappointment,3
peacefully,4,discriminatory,3
perfectly,4,displaced,3
pleasure,4,disrespect,3
promising,4,dissonance,3
qualify,4,drag,3
recover,4,epidemic,3
refreshing,4,excuse,3
restored,4,exhaustion,3
revitalize,4,extremist,3
sexy,4,failures,3
solid,4,fake,3
stable,4,fat,3
succeed,4,fiction,3
successful,4,fierce,3
supports,4,fleeing,3
supreme,4,funny,3
sweet,4,gross,3
transparent,4,harmed,3
unity,4,hedge,3
winners,4,illegal,3
worthy,4,inadequate,3
yay,4,indifference,3
accomplishments,3,infected,3
achievements,3,inhumane,3
advanced,3,invisible,3
appreciated,3,jerk,3
awarded,3,lacking,3
beautifully,3,leaking,3
bravery,3,limitations,3
champion,3,loopholes,3
charming,3,loud,3
chic,3,lying,3
convenience,3,negative,3
cute,3,noise,3
decency,3,oppose,3
defeated,3,opposition,3
destiny,3,outbreak,3
educated,3,overlook,3
efficiently,3,panic,3
elated,3,passive,3
excitement,3,pervasive,3
extraordinary,3,predatory,3
fairly,3,refusal,3
generous,3,refusing,3
glorious,3,ruins,3
graciously,3,sadly,3
grand,3,scared,3
groundbreaking,3,scream,3
happiness,3,shit,3
hug,3,shrug,3
humor,3,sick,3
improvements,3,sink,3
influential,3,split,3
inspirational,3,stain,3
lighter,3,steal,3
loves,3,strange,3
marvel,3,stranger,3
meaningful,3,strike,3
noble,3,stuck,3
patient,3,stumbled,3
pleased,3,sue,3
poised,3,sunk,3
popular,3,suppression,3
precisely,3,terror,3
prefer,3,tragedy,3
priceless,3,troubling,3
pride,3,ugly,3
privileged,3,unable,3
prosperous,3,unbelievable,3
proven,3,uncertain,3
reconciliation,3,unequal,3
renewed,3,unfamiliar,3
respectfully,3,unfortunately,3
responsive,3,unsafe,3
robust,3,violently,3
sensitive,3,virus,3
smiling,3,warned,3
smooth,3,wedge,3
soft,3,absurd,2
spectacular,3,abusive,2
stellar,3,accuse,2
stunned,3,aggressive,2
subsidize,3,allergic,2
superior,3,ambivalent,2
thriving,3,biased,2
treasure,3,blow,2
unforgettable,3,boring,2
uplifting,3,breach,2
vibrant,3,bumps,2
winner,3,bust,2
wise,3,careless,2
accolades,2,cheated,2
accomplish,2,chill,2
affluence,2,complaining,2
amazed,2,complaints,2
aspirations,2,complicated,2
astounding,2,concede,2
awards,2,concessions,2
bless,2,contagious,2
blessing,2,cracks,2
bloom,2,crashed,2
boom,2,crooked,2
calm,2,cruel,2
calming,2,crumbling,2
catchy,2,declining,2
cheery,2,depression,2
clarity,2,dick,2
comfy,2,disappoint,2
competitive,2,dismaying,2
confident,2,disorder,2
convincing,2,disproportionate,2
courageous,2,distressed,2
courageously,2,doubt,2
defender,2,drastically,2
desirable,2,elimination,2
divine,2,embarrassing,2
elan,2,encroachment,2
endorsement,2,enemies,2
endorsing,2,eviscerate,2
enhanced,2,exacerbate,2
enhances,2,excuses,2
excel,2,exhausted,2
excellence,2,expired,2
expansive,2,extremists,2
famous,2,fatigue,2
fascinating,2,fatigued,2
fav,2,fearful,2
fiery,2,flee,2
foresight,2,fragile,2
formidable,2,fraud,2
fortune,2,freaking,2
fresh,2,frightening,2
gaining,2,frozen,2
gems,2,frustrated,2
generously,2,frustration,2
gifted,2,giddy,2
glory,2,grapple,2
harmless,2,grievance,2
heaven,2,grieving,2
hilarious,2,grind,2
humble,2,hangs,2
impressive,2,hardship,2
improvement,2,hazardous,2
improves,2,heck,2
indebted,2,hollow,2
inspire,2,hostile,2
instantly,2,hurting,2
integral,2,idiocy,2
intelligence,2,inappropriate,2
invaluable,2,incitement,2
kindness,2,inclement,2
liberation,2,incomparable,2
liberty,2,ineligible,2
luxurious,2,inevitable,2
masters,2,inevitably,2
morality,2,inflated,2
ovation,2,insidious,2
palatial,2,interrupt,2
perseverance,2,intimidate,2
playful,2,ironic,2
pleasant,2,isolated,2
praise,2,lackluster,2
profoundly,2,lengthy,2
properly,2,lull,2
prosper,2,manipulate,2
prosperity,2,mar,2
protection,2,massacre,2
rapid,2,mediocre,2
reasonable,2,mispronounce,2
refine,2,mistakes,2
regard,2,misunderstood,2
rejoicing,2,misuse,2
respite,2,nervous,2
reward,2,nightmare,2
righteous,2,obsess,2
rightfully,2,odd,2
spirited,2,offend,2
striving,2,overdue,2
subsidizing,2,overstated,2
substantive,2,overwhelm,2
successes,2,perplexing,2
supporter,2,pinch,2
survival,2,poorest,2
talented,2,punish,2
unlimited,2,questionable,2
unparalleled,2,radicalization,2
warmer,2,rampant,2
abundant,1,reckless,2
accomplished,1,rejecting,2
achievement,1,reluctance,2
adequate,1,repetitive,2
advantages,1,rhetoric,2
affection,1,rhetorical,2
affirmative,1,ridiculous,2
amenity,1,ruin,2
appeal,1,scarcity,2
applaud,1,scratch,2
appreciates,1,screwed,2
aspire,1,shake,2
attentive,1,shock,2
awed,1,silly,2
bolster,1,sin,2
brotherly,1,slap,2
capability,1,slower,2
capable,1,sober,2
charitable,1,spite,2
cheaper,1,spoiled,2
civility,1,stale,2
cleanly,1,strictly,2
comforting,1,suppress,2
compassionate,1,tank,2
compliment,1,thirst,2
confidence,1,threaten,2
considerate,1,treason,2
consistent,1,trivial,2
coolest,1,unemployed,2
courteous,1,unhappy,2
delicious,1,unhealthy,2
dependable,1,unimaginable,2
deserving,1,unnoticed,2
distinction,1,uprising,2
distinguished,1,uproar,2
dynamic,1,useless,2
ease,1,vengeance,2
effectiveness,1,waning,2
elegance,1,waste,2
eloquent,1,worsening,2
eloquently,1,abruptly,1
eminent,1,absence,1
empathy,1,accusations,1
empower,1,accusing,1
enhance,1,aggravating,1
enjoyable,1,aggression,1
entertaining,1,alarm,1
enthusiasm,1,anemic,1
entrust,1,annoyed,1
exceed,1,annoying,1
exceeded,1,annoyingly,1
exemplary,1,arrogance,1
extraordinarily,1,ashamed,1
fabulous,1,audacity,1
facilitate,1,awfully,1
faithful,1,awkward,1
fancy,1,barbarity,1
faster,1,battered,1
favor,1,bent,1
finest,1,bigotry,1
foremost,1,bitter,1
fortitude,1,bizarre,1
freedoms,1,blatant,1
gains,1,bleeding,1
gem,1,bomb,1
generosity,1,bondage,1
glamorous,1,bonkers,1
glimmer,1,bore,1
golden,1,bother,1
goodness,1,bothers,1
goodwill,1,bravado,1
gracious,1,brutally,1
gratifying,1,bullying,1
hail,1,bumping,1
hallowed,1,bumpy,1
heartfelt,1,burned,1
heartwarming,1,catastrophes,1
hero,1,censure,1
holy,1,chastise,1
honoring,1,cheats,1
humility,1,childish,1
humour,1,chronic,1
impresses,1,complacent,1
ingenuity,1,complain,1
innocuous,1,complains,1
intimate,1,conceded,1
intuitive,1,condemned,1
justly,1,condescending,1
keen,1,conflicted,1
kindly,1,conflicting,1
lawful,1,confusing,1
lean,1,confusion,1
leverage,1,congested,1
liking,1,contaminated,1
logical,1,contempt,1
loyalty,1,contend,1
luxury,1,contradictory,1
masterful,1,cowardly,1
mercy,1,critic,1
merit,1,criticism,1
momentous,1,criticize,1
motivated,1,criticizing,1
neat,1,cruelty,1
nicer,1,crush,1
nicest,1,crushing,1
nurturing,1,culprit,1
openly,1,damages,1
optimistic,1,danger,1
orderly,1,daunting,1
paradise,1,deaf,1
patience,1,dearth,1
patiently,1,debilitating,1
patriot,1,declines,1
patriotic,1,defamation,1
positively,1,defiance,1
precious,1,degrading,1
prefers,1,dejected,1
productive,1,delaying,1
promised,1,delirious,1
prompt,1,delirium,1
promptly,1,dent,1
pure,1,deplorable,1
qualified,1,deter,1
realistic,1,deteriorating,1
reasonably,1,detriment,1
recommended,1,detrimental,1
rectifying,1,devoid,1
redeem,1,dictator,1
reforming,1,difficulty,1
refresh,1,dirty,1
refreshed,1,disagree,1
rejuvenated,1,disagreement,1
renowned,1,disappointed,1
restructuring,1,disgust,1
